,name,review_count,rating,location,phone,distance,price
0,McBrennan's Gourmet Burger Shack,10,5.0,"Park Ridge, IL 60068",+17085415413,16047.549794649383,
1,Smash IT Burgers,7,5.0,"6037 Dempster St, Morton Grove, IL 60053",+12242517083,20278.940280186707,
2,Hideout Pub and Grill,9,5.0,"3435 N Kennicott Ave, Arlington Heights, IL 60004",+18472556373,7327.33941621945,
3,Boba Burger,793,4.5,"8530 Waukegan Rd, Morton Grove, IL 60053",+18474107779,18566.830518821265,$
4,Knighthawk Bistro,112,4.5,"28392 N Ballard Dr, Lake Forest, IL 60045",+18472310355,24357.73683755132,$$
5,Nash Bros,57,4.5,"9353 N Milwaukee Ave, Niles, IL 60714",+12244706121,15545.742182346954,$$
6,The Peanut Gallery,31,4.5,"588 N Western Ave, Lake Forest, IL 60045",+12245445442,24519.04028991858,
7,Kylo's Galaxy Burgers,7,4.5,"15 Commerce Dr, Ste 103, Grayslake, IL 60030",+12242522964,29916.41846313414,
8,Chicago's Own Maxwell Street,11,4.5,"Schaumburg, IL 60193",+17736034881,9452.575391738392,
9,Hubby's Dog House,73,4.5,"208 S Main St, Mt. Prospect, IL 60056",+18477493878,6904.892564169203,$
10,Bubby's Beefs and Red Hots,76,4.5,"1026 E Higgins Rd, Elk Grove Village, IL 60007",+18473570079,6545.388736730434,$
11,Big Ange's Eatery,588,4.5,"640 W Northwest Hwy, Arlington Heights, IL 60004",+12242488644,2741.0941753589973,$$
12,Paradise Pup,1063,4.5,"1724 S River Rd, Des Plaines, IL 60018",+18476998590,13160.008887122474,$$
13,Burger Antics,777,4.5,"3740 Grand Blvd, Brookfield, IL 60513",+17082555182,31489.259944855705,$$
14,Twisted Burger - Vernon Hills,61,4.5,"279 Evergreen Dr, Vernon Hills, IL 60061",+12244336226,16908.106798096906,
15,Olympus Gyros,92,4.5,"412 W Nw Hwy, Mount Prospect, IL 60056",+18472535656,6316.284720510392,$
16,The Sandlot,487,4.5,"1120 W Touhy Ave, Park Ridge, IL 60068",+18476921900,16362.455569910213,$
17,TNT's Snack Shop,122,4.5,"1706 W Campbell St, Arlington Heights, IL 60005",+18473981045,1533.6356816266584,$
18,The Southern Kitchen,135,4.5,"818 E Kensington Rd, Arlington Heights, IL 60004",+12247353277,3902.2370512373973,$$
19,Madcats,22,4.5,"117 W Slade St, Palatine, IL 60067",+18474858093,4672.505675272213,
20,Tracks,584,4.5,"108 W Main St, Cary, IL 60013",,23669.35382149364,$$
21,Chicago Culinary Kitchen,448,4.5,"2391 N Hicks Rd, Palatine, IL 60074",+18477018243,8796.614716547128,$$
22,Heffy's Hot Dogs and More,128,4.5,"1520 N Elmhurst Rd, Mount Prospect, IL 60056",+18473943339,7114.228888362467,$
23,Lazy Dog Restaurant & Bar,338,4.0,"1775 22nd St, Oak Brook, IL 60523",+16305264308,25855.474242761986,$$
24,The Hungry Mule,306,4.0,"463 S Rand Rd, Lake Zurich, IL 60047",+18475408000,14621.536789836979,$$
25,Dawg Park,40,4.0,"100 W Higgins Rd, Ste L60, South Barrington, IL 60010",+12246999999,13682.887174334604,
26,MP Kitchen & Bar,135,4.0,"403 W Dundee Rd, Wheeling, IL 60090",+18472438930,10372.02680889064,$$
27,Buona - Kildeer,6,4.0,"21591 N Rand Rd, Lake Zurich, IL 60047",+18476937020,12306.644022891121,
28,Union Ale House Pub,233,4.0,"1211 S Wolf Rd, Prospect Heights, IL 60070",+18479478175,9962.087279674837,$$
29,Old Munich Tavern,22,4.0,"582 N Milwaukee Ave, Wheeling, IL 60090",+18479472696,12043.667664348579,
30,The Burger Social,390,4.0,"108 N Hale St, Wheaton, IL 60187",+16304800458,24409.718133146685,$$
31,Grando's,31,4.0,"925 W Irving Park Rd, Itasca, IL 60143",+16307730455,11254.584145331295,$
32,Culinary Gangster,61,4.0,"1216 Waukegan Rd, Glenview, IL 60025",+18478340374,18153.33143664844,
33,Wick n Ore Kitchen &Tap,77,4.0,"1260 S Milwaukee Ave, Ste 500, Vernon Hills, IL 60061",+18472471973,15968.672484109195,$$
34,Dawg Park,179,4.0,"1839 Tower Dr, Glenview, IL 60026",+18478340270,16209.077450351724,$$
35,Rep's Place,157,4.0,"3200 Kirchoff Rd, Rolling Meadows, IL 60008",+12243472916,513.1387779437883,
36,Passero,428,4.0,"3 S Evergreen Ave, Arlington Heights, IL 60005",+12248578900,3227.369468007397,$$
37,Lucky Monk,1516,4.0,"105 Hollywood Blvd, Barrington, IL 60010",+18478980500,10370.252250905505,$$
38,Choongman Chicken - Schaumburg,50,4.0,"1602 E Algonquin Rd, Schaumburg, IL 60173",,1861.8533208838894,$$
39,"Billy's Hot Dogs, Beef & Sandwiches",112,4.0,"52 W Illinois Ave, Palatine, IL 60067",+18477059980,3201.532144200096,$
40,IDK Philly & Burgers,1,5.0,"Bartlett, IL 60103",+13127200751,18740.52507235299,
41,Portillo's,1,5.0,"10290 W Higgins Rd, Rosemont, IL 60018",+18474432150,13878.45937506702,
42,Lazy Dog Restaurant & Bar,1174,4.0,"1115 N Milwaukee Ave, Vernon Hills, IL 60061",+18477807977,19880.130602387344,$$
43,Twisted Burger Grayslake,377,4.0,"217 Center St, Grayslake, IL 60030",+18472232388,30039.031435216682,$$
44,Westwood Tavern,773,4.0,"1385 N Meacham Rd, Schaumburg, IL 60173",+18479699500,2915.453362887507,$$
45,Fatt Mustard Cafe,147,4.0,"586 E Devon Ave, Elk Grove Village, IL 60007",+18476401060,9490.998775066791,$
46,Brandt's of Palatine,269,4.0,"807 W Nw Hwy, Palatine, IL 60067",+18474964388,6677.387664997412,$$
47,Jimmy D's District,79,4.0,"1718 W Nw Hwy, Arlington Heights, IL 60004",+18472551340,2461.876586836501,$$
48,Village Tavern & Grill,744,4.0,"901 W Wise Rd, Schaumburg, IL 60193",+18478918866,10437.41834112083,$$
49,Big Chicken,87,4.0,"9421 W Higgins Rd, Rosemont, IL 60018",+17256054000,15904.46388321674,$$
