,name,review_count,rating,price,location,phone,distance
0,Nando's,8,5,£,"113 Baker st, Marylebone, London W1U 6RS, United Kingdom",+442030751044,3544.92936512798
1,Zelman Meats - Knightsbridge,4,5,,"5th Floor, 109 - 125 Knightsbridge, London SW1X 7RJ, United Kingdom",+442072018625,1370.9366945075
2,Dapur,11,4.5,£,"13 Lamb's Conduit Passage, Holborn, London WC1R 4RH, United Kingdom",+442074054659,4783.55503645265
3,Nandos,6,4.5,££,"Prince Charles Drive, Brent Cross Shopping Centre, London NW4 3FP, United Kingdom",+442082039131,10361.7209925716
4,Dishoom - Kensington,346,4.5,££,"4 Derry Street, Kensington W8 5SE, United Kingdom",+442074209325,2070.10476016747
5,Borough Market,1847,4.5,££,"8 Southwark Street, London SE1 1TL, United Kingdom",+442030262283,5551.18433073802
6,Dishoom,705,4.5,£££,"22 Kingly Street, London W1B 5QP, United Kingdom",+442074209322,3196.67247709299
7,Dishoom,2497,4.5,££,"12 Upper Saint Martin's Lane, London WC2H 9FB, United Kingdom",+442074209320,3746.09150967774
8,Original Lahore Restaurant & Takeaway,11,4.5,££,"148-150 Brent Street, London NW4 2DR, United Kingdom",+442082036904,11455.4667969298
9,Dar Marrakech,10,4.5,££,"403 High Street, Stratford, London E15 4QZ, United Kingdom",+442082210113,12813.91492785
10,Layalina,16,4.5,£££,"2/3 Beauchamp Place, Knightsbridge, London SW3 1NG, United Kingdom",+442075814296,900.13834186579
11,Gopal’s Corner,16,4.5,,"Market Halls Victoria - 1st Floor, 191 Victoria Street, London SW1E 5NE, United Kingdom",,1777.01528048233
12,Band of Burgers,11,4.5,££,"23 Camden High Street, London NW1 7JE, United Kingdom",+442073873898,5375.85377030811
13,Da Mario Restaurant,190,4.5,££,"15 Gloucester Road, London SW7 4PP, United Kingdom",+442075849078,1479.81058720356
14,Mango Indian,157,4.5,££,"Cromwell Building, 6 Redcross Way, London SE1 9HR, United Kingdom",+442074070333,5411.45858578812
15,Makan Café,38,4.5,£,"270 Portobello Road, London W10 5TY, United Kingdom",+442089605169,4212.51181874309
16,Where the Pancakes are,100,4.5,££,"Arch 35a, 85 Southwark Bridge Road, London SE1 0NQ, United Kingdom",,5222.60890790771
17,Jungle Braai,2,5,,"115 Wood Street, London E17 3LL, United Kingdom",+442085215050,15737.0469651574
18,Satay House,91,4,££,"13 Sale Place, London W2 1PX, United Kingdom",+442077236763,3070.08850920345
19,Harrods Food Hall,348,4,£££,"87-135 Brompton Road, London SW1X 7XL, United Kingdom",+442077301234,1064.98302388498
20,Bosphorus Kebabs,93,4,£,"59 Old Brompton Road, South Kensington SW7 3JS, United Kingdom",+442075844048,692.540214899567
21,Antalya Restaurant,29,4,£££,"103-105 Southampton Row, London WC1B 4HH, United Kingdom",+442075805355,4579.09742922046
22,Kinkao,47,4,££,"176 Brick Lane, London E1 6RU, United Kingdom",+442072471030,7555.91468267166
23,The Grill Halal Diner,6,4,££,"177 Lampton Road, Hounslow TW3 4EZ, United Kingdom",+442035567614,13663.7651145814
24,Normah's,3,4.5,,"Unit 23-25, Queensway Market, Queensway W2 4QJ, United Kingdom",+447771630828,2717.24602740433
25,Wok's Cooking,7,4,££,"1453 London Road, London SW16 4AQ, United Kingdom",+442086799405,9434.68723053021
26,Bintang Restaurant,28,4,££,"93 Kentish Town Road, London NW1 8NY, United Kingdom",+442072672197,6201.71448379396
27,Nando's,11,4,££,"1 Russell Road, Wimbledon SW19 1QN, United Kingdom",+442085450909,8226.95631500224
28,Cafe Nouf,16,4,££,"8 Lower Grosvenor Place, London SW1W 0EN, United Kingdom",+442078286677,1802.85527192459
29,DUM Biryani House,34,4,££,"187B Wardour Street, London W1F 8ZB, United Kingdom",+442036380974,3570.1029538394
30,Mahdi Restaurant,37,4,££,"217 King Street, London W6 9JT, United Kingdom",+442085637007,4697.9156598851
31,Star Kebab House,54,4,£,"178 Earls Court Road, London SW5 9QQ, United Kingdom",+442073704051,1937.45171710343
32,Yalla Yalla,151,4,££,"1 Green's Court, London W1F 0HA, United Kingdom",+442072877663,3373.44455020235
33,Fitous Thai Restaurant,6,4,£,"1 Dalgarno Gardens, London W10 5LL, United Kingdom",+442089680558,5429.55088398423
34,Dar Marrakesh,16,4,££,"422 Edgware Road, Paddington, London W2 1EG, United Kingdom",+442072620560,3682.02414452428
35,The JOA,1,5,,"2 Castle Street, Kingston upon Thames KT1 1SS, United Kingdom",+447532329510,12766.7191279674
36,Nando's,26,4,££,"229-231 Kensington High st, Kensington W8 6SA, United Kingdom",+442079374888,2319.76160239189
37,Tayyabs,731,4,££,"83-89 Fieldgate Street, London E1 1JU, United Kingdom",+442072476400,7810.70488656823
38,Original Lahore Kebab House,152,4,££,"2-10 Umberston Street, London E1 1PY, United Kingdom",+442074819738,7719.05441317087
39,Banana Tree,40,4,££,"237-239 W End Lane, London NW6 1XN, United Kingdom",+442074317808,6829.55353473708
40,Woody Grill,13,4,££,"211-213 Kilburn High Road, Kilburn, London NW6 7JG, United Kingdom",+442073283160,6162.70988147034
